VehicleType,Brand,Year,Mileage,Complaint,DamageLevel,ServiceType,Price,FirstAidSolution
Motorcycle,Kawasaki,2022,75528,Ban bocor,Low,Tire Service,174420,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Suzuki,2023,166257,Baterai soak,Medium,Battery Replacement,463247,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Daihatsu,2005,120863,Rem bunyi,High,Brake Service,838325,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Daihatsu,2006,136314,Starter tidak berfungsi,Medium,Electrical Repair,368372,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Honda,2014,93576,AC tidak dingin,High,AC Repair,758759,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Yamaha,2007,176813,Service rutin,High,General Checkup,636403,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Mitsubishi,2006,124047,Kopling slip,Medium,Transmission Repair,319220,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Kawasaki,2011,145109,Rem bunyi,Low,Brake Service,136866,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Yamaha,2019,173967,Starter tidak berfungsi,Low,Electrical Repair,257953,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2019,168866,Starter tidak berfungsi,High,Electrical Repair,658990,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Suzuki,2007,101826,Stir berat,Medium,Power Steering Repair,301479,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Honda,2018,21317,Suspensi keras,Medium,Suspension Repair,400832,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Kawasaki,2013,186741,Mesin overheat,High,Engine Repair,650095,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2008,132129,Rem bunyi,High,Brake Service,909558,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Nissan,2015,175331,Rem bunyi,Medium,Brake Service,469838,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Suzuki,2012,162838,Baterai soak,Medium,Battery Replacement,492778,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Yamaha,2006,196027,Rem bunyi,Low,Brake Service,290768,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Suzuki,2009,32026,Suspensi keras,Low,Suspension Repair,221947,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Nissan,2021,148302,Baterai soak,Low,Battery Replacement,288561,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Suzuki,2015,24651,Oli bocor,Medium,Oil Change,401730,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2021,138948,Kopling slip,Low,Transmission Repair,142367,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2013,196845,Oli bocor,Low,Oil Change,170355,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2021,33587,Stir berat,High,Power Steering Repair,892143,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Yamaha,2007,197326,Mesin overheat,High,Engine Repair,634684,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Daihatsu,2017,135277,Starter tidak berfungsi,High,Electrical Repair,709610,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2023,178907,Radiator bocor,Low,Cooling System Repair,287453,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Toyota,2009,9219,Rem bunyi,Medium,Brake Service,485332,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Honda,2023,66308,Ban bocor,High,Tire Service,653804,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Daihatsu,2005,53709,Lampu mati,Low,Electrical Repair,284349,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Toyota,2006,14016,Stir berat,Low,Power Steering Repair,209898,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Daihatsu,2015,110081,Oli bocor,Low,Oil Change,232747,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Kawasaki,2010,76715,Gigi transmisi macet,Medium,Transmission Repair,479506,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Daihatsu,2015,133970,Stir berat,Medium,Power Steering Repair,484893,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Toyota,2008,122536,Kopling slip,Medium,Transmission Repair,589180,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Daihatsu,2015,139072,Mesin overheat,Medium,Engine Repair,596379,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Kawasaki,2009,42594,Ban bocor,Low,Tire Service,102559,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Honda,2022,41039,AC tidak dingin,Low,AC Repair,251715,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Kawasaki,2011,174018,Radiator bocor,Medium,Cooling System Repair,340343,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2014,166970,Service rutin,High,General Checkup,834873,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Honda,2010,168265,Radiator bocor,Medium,Cooling System Repair,425876,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Honda,2007,33962,Radiator bocor,Low,Cooling System Repair,193006,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Mitsubishi,2018,123720,Suspensi keras,Low,Suspension Repair,211510,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Honda,2021,7283,Baterai soak,Medium,Battery Replacement,563027,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Daihatsu,2022,149841,Starter tidak berfungsi,Medium,Electrical Repair,361656,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2006,131244,Service rutin,Medium,General Checkup,497722,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Honda,2014,69514,Starter tidak berfungsi,Low,Electrical Repair,210758,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Suzuki,2012,8781,Oli bocor,Medium,Oil Change,477540,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Suzuki,2011,194147,Ban bocor,High,Tire Service,725377,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2012,129602,Baterai soak,Medium,Battery Replacement,578860,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Honda,2011,47448,Radiator bocor,High,Cooling System Repair,602936,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Daihatsu,2023,142432,Ban bocor,Medium,Tire Service,526358,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Suzuki,2018,107691,Ban bocor,Medium,Tire Service,487427,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2018,25185,Gigi transmisi macet,Low,Transmission Repair,254485,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Yamaha,2022,175677,Mesin overheat,Low,Engine Repair,251731,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Toyota,2015,50248,Kopling slip,Low,Transmission Repair,140787,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2009,178574,Baterai soak,High,Battery Replacement,714118,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2011,190659,Mesin overheat,Medium,Engine Repair,335779,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Toyota,2014,58805,Suspensi keras,Low,Suspension Repair,195763,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Toyota,2022,96048,Ban bocor,High,Tire Service,850619,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2012,33868,Gigi transmisi macet,Low,Transmission Repair,155570,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Yamaha,2015,112182,Mesin overheat,Low,Engine Repair,237285,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Nissan,2008,98514,Baterai soak,Medium,Battery Replacement,494792,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Daihatsu,2017,75286,Oli bocor,Low,Oil Change,144736,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Kawasaki,2010,99378,Rem bunyi,Medium,Brake Service,446530,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Mitsubishi,2014,167096,Mesin overheat,Low,Engine Repair,165772,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Toyota,2008,38856,Mesin overheat,Medium,Engine Repair,502821,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2005,45331,Ban bocor,High,Tire Service,623105,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Suzuki,2010,131056,Starter tidak berfungsi,High,Electrical Repair,773992,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Honda,2020,28723,Rem bunyi,High,Brake Service,960734,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Suzuki,2015,157080,Rem bunyi,High,Brake Service,654267,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Suzuki,2016,33212,Lampu mati,High,Electrical Repair,821436,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Daihatsu,2011,66728,Kopling slip,Low,Transmission Repair,141340,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Toyota,2016,157120,AC tidak dingin,Low,AC Repair,228602,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2018,103168,Service rutin,Medium,General Checkup,533887,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Kawasaki,2008,22697,Suspensi keras,Medium,Suspension Repair,362838,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Kawasaki,2016,68520,Baterai soak,Low,Battery Replacement,202030,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Suzuki,2007,162451,Lampu mati,Medium,Electrical Repair,520303,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Honda,2017,166087,AC tidak dingin,Low,AC Repair,153306,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Suzuki,2020,72604,Service rutin,Low,General Checkup,163437,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Motorcycle,Yamaha,2008,166248,Lampu mati,Low,Electrical Repair,111768,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Honda,2013,53610,Starter tidak berfungsi,Low,Electrical Repair,182040,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Motorcycle,Honda,2012,27658,Lampu mati,Low,Electrical Repair,180282,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Honda,2018,175771,Kopling slip,High,Transmission Repair,621042,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Yamaha,2006,47081,Starter tidak berfungsi,Medium,Electrical Repair,462654,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Daihatsu,2012,198385,AC tidak dingin,Medium,AC Repair,364670,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Suzuki,2019,152061,Lampu mati,Medium,Electrical Repair,441558,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2005,196587,Gigi transmisi macet,Low,Transmission Repair,160469,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Kawasaki,2006,76766,Gigi transmisi macet,Low,Transmission Repair,260516,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Honda,2018,86943,Lampu mati,Low,Electrical Repair,282176,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Yamaha,2020,56257,Suspensi keras,Low,Suspension Repair,133058,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2019,98151,Suspensi keras,Low,Suspension Repair,236860,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Mitsubishi,2022,56586,AC tidak dingin,Medium,AC Repair,474207,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Daihatsu,2017,129779,Stir berat,High,Power Steering Repair,990737,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Nissan,2008,52622,Baterai soak,Low,Battery Replacement,270174,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Honda,2023,99658,Rem bunyi,High,Brake Service,885872,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Yamaha,2021,166678,Suspensi keras,High,Suspension Repair,603579,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Motorcycle,Yamaha,2017,184292,Lampu mati,Low,Electrical Repair,150699,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Mitsubishi,2016,142814,Gigi transmisi macet,Low,Transmission Repair,229008,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Honda,2012,122524,Oli bocor,Low,Oil Change,235841,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Suzuki,2017,175375,Suspensi keras,High,Suspension Repair,616629,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Honda,2018,117457,Stir berat,High,Power Steering Repair,947925,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Car,Suzuki,2022,144854,Ban bocor,High,Tire Service,703800,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2020,34320,Baterai soak,Low,Battery Replacement,114100,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Kawasaki,2021,112056,Service rutin,High,General Checkup,909102,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Suzuki,2007,121298,Ban bocor,Low,Tire Service,175145,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Honda,2009,60980,Rem bunyi,Low,Brake Service,150103,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Honda,2014,38251,Ban bocor,Medium,Tire Service,386665,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Suzuki,2010,65593,Gigi transmisi macet,Medium,Transmission Repair,566218,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Suzuki,2019,117365,Stir berat,High,Power Steering Repair,745144,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Yamaha,2019,150463,Oli bocor,Low,Oil Change,150391,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Yamaha,2013,144643,Baterai soak,Low,Battery Replacement,268213,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Suzuki,2012,156736,Baterai soak,Medium,Battery Replacement,401460,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Motorcycle,Suzuki,2008,182668,Kopling slip,Low,Transmission Repair,184088,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Suzuki,2018,152365,Radiator bocor,High,Cooling System Repair,703774,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Honda,2007,46839,Mesin overheat,Low,Engine Repair,295573,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Motorcycle,Yamaha,2005,46252,Radiator bocor,Low,Cooling System Repair,216593,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Toyota,2013,165845,Suspensi keras,Medium,Suspension Repair,419487,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Honda,2010,191160,Lampu mati,Low,Electrical Repair,290514,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Honda,2014,184337,Lampu mati,Medium,Electrical Repair,583893,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Kawasaki,2019,196177,Kopling slip,Medium,Transmission Repair,422230,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Honda,2005,78060,Oli bocor,Medium,Oil Change,384528,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Motorcycle,Honda,2019,159913,Gigi transmisi macet,Medium,Transmission Repair,591351,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Honda,2016,170140,Lampu mati,Medium,Electrical Repair,345244,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Daihatsu,2012,121710,AC tidak dingin,Medium,AC Repair,553979,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Suzuki,2009,74216,Suspensi keras,Medium,Suspension Repair,346030,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Toyota,2019,119763,AC tidak dingin,High,AC Repair,906059,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Honda,2008,85559,Rem bunyi,Medium,Brake Service,539396,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Suzuki,2007,158764,Rem bunyi,Medium,Brake Service,574651,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Suzuki,2017,149807,Ban bocor,Medium,Tire Service,353018,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2019,135847,Kopling slip,Medium,Transmission Repair,311226,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Nissan,2022,114197,Suspensi keras,Medium,Suspension Repair,402989,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Daihatsu,2006,185136,Ban bocor,Low,Tire Service,190420,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Nissan,2020,5591,Rem bunyi,Medium,Brake Service,590677,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Suzuki,2013,40628,Radiator bocor,Low,Cooling System Repair,283706,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Honda,2022,140113,Service rutin,Low,General Checkup,163713,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Honda,2017,68622,Gigi transmisi macet,High,Transmission Repair,940968,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Toyota,2015,86491,Rem bunyi,Low,Brake Service,141453,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Toyota,2020,99282,Gigi transmisi macet,Medium,Transmission Repair,464210,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Daihatsu,2018,35694,Gigi transmisi macet,Medium,Transmission Repair,455228,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Car,Suzuki,2022,50423,Starter tidak berfungsi,Low,Electrical Repair,140906,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Daihatsu,2006,132740,Stir berat,Low,Power Steering Repair,154193,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Kawasaki,2017,193149,Lampu mati,Medium,Electrical Repair,473081,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Daihatsu,2011,110390,Rem bunyi,High,Brake Service,884061,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Nissan,2017,54352,AC tidak dingin,Medium,AC Repair,451843,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Mitsubishi,2014,179579,Rem bunyi,Medium,Brake Service,569046,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Daihatsu,2015,157638,Ban bocor,Low,Tire Service,151413,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Motorcycle,Yamaha,2023,185608,Gigi transmisi macet,Medium,Transmission Repair,409922,"1. Matikan mesin
2. Coba ganti gigi secara manual
3. Bawa ke bengkel transmisi"
Motorcycle,Honda,2011,72285,Rem bunyi,Medium,Brake Service,569214,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Car,Mitsubishi,2009,116842,Suspensi keras,High,Suspension Repair,921264,"1. Hindari jalan rusak
2. Kurangi kecepatan
3. Periksa shockbreaker"
Car,Nissan,2017,14799,Radiator bocor,Low,Cooling System Repair,157273,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Kawasaki,2017,75111,Starter tidak berfungsi,Low,Electrical Repair,249021,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Honda,2015,141254,Ban bocor,Low,Tire Service,115737,"1. Pinggirkan kendaraan
2. Gunakan ban serep
3. Bawa ke tukang tambal ban"
Car,Honda,2010,150346,Lampu mati,Low,Electrical Repair,108094,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Suzuki,2022,194881,Lampu mati,Medium,Electrical Repair,430706,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Suzuki,2014,145759,Kopling slip,Low,Transmission Repair,274968,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Car,Mitsubishi,2015,108967,Lampu mati,Medium,Electrical Repair,468696,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Motorcycle,Kawasaki,2013,43733,Stir berat,High,Power Steering Repair,980819,"1. Periksa oli power steering
2. Hindari manuver tajam
3. Segera periksa ke bengkel"
Motorcycle,Yamaha,2013,105865,Baterai soak,Low,Battery Replacement,169108,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Suzuki,2017,62495,Radiator bocor,Medium,Cooling System Repair,339855,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Motorcycle,Suzuki,2010,19990,Rem bunyi,High,Brake Service,682920,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Kawasaki,2010,92051,Service rutin,Medium,General Checkup,523097,"1. Catat keluhan
2. Buat janji servis
3. Datang ke bengkel resmi"
Car,Honda,2011,34089,Lampu mati,Medium,Electrical Repair,401815,"1. Periksa saklar lampu
2. Ganti bohlam jika perlu
3. Bawa ke bengkel listrik"
Car,Toyota,2016,145014,Kopling slip,Low,Transmission Repair,219289,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
Motorcycle,Kawasaki,2012,85406,AC tidak dingin,Medium,AC Repair,578205,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Car,Mitsubishi,2008,165567,Baterai soak,Low,Battery Replacement,219150,"1. Gunakan jumper kabel
2. Nyalakan kendaraan
3. Isi ulang atau ganti baterai"
Car,Suzuki,2008,194475,Rem bunyi,Medium,Brake Service,499517,"1. Kurangi kecepatan
2. Hindari pengereman mendadak
3. Periksa kampas rem"
Motorcycle,Yamaha,2013,65994,AC tidak dingin,Low,AC Repair,227864,"1. Matikan AC
2. Cek freon
3. Bawa ke bengkel AC terdekat"
Motorcycle,Honda,2013,169873,Mesin overheat,Medium,Engine Repair,561266,"1. Matikan mesin
2. Tunggu mesin dingin
3. Periksa air radiator"
Car,Nissan,2014,72511,Starter tidak berfungsi,Low,Electrical Repair,226855,"1. Periksa aki
2. Coba nyalakan ulang
3. Panggil teknisi"
Car,Nissan,2010,77814,Radiator bocor,High,Cooling System Repair,643943,"1. Matikan mesin
2. Tambahkan air sementara
3. Tutup radiator dan bawa ke bengkel"
Car,Nissan,2015,23799,Oli bocor,Low,Oil Change,199963,"1. Matikan mesin
2. Periksa bagian bawah kendaraan
3. Segera bawa ke bengkel"
Car,Suzuki,2017,87593,Kopling slip,High,Transmission Repair,624238,"1. Hindari perpindahan gigi mendadak
2. Kurangi beban kendaraan
3. Bawa ke bengkel"
